측정월	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(㎍/㎥)	초미세먼지(㎍/㎥)
202010	강남구	0.024	0.022	0.5	0.003	30	17
202010	강남대로	0.034	0.013	0.8	0.004	36	19
202010	강동구	0.025	0.019	0.5	0.003	36	19
202010	강변북로	0.029	0.019	0.6	0.004	33	18
202010	강북구	0.016	0.025	0.5	0.003	36	17
202010	강서구	0.025	0.023	0.5	0.006	36	18
202010	관악구	0.031	0.022	0.5	0.003	34	17
202010	관악산	0.013	0.043	0.5	0.004	31	13
202010	광진구	0.015	0.015	0.7	0.003	30	16
202010	구로구	0.024	0.023	0.4	0.003	36	15
202010	궁동	0.024	0.019	0.4	0.003	34	17
202010	금천구	0.026	0.019	0.5	0.003	34	19
202010	남산	0.014	0.033	0.3	0.003	18	9
202010	노원구	0.025	0.024	0.5	0.003	33	17
202010	도봉구	0.018	0.025	0.4	0.003	27	16
202010	도산대로	0.03	0.016	0.9	0.004	41	17
202010	동대문구	0.025	0.023	0.5	0.003	30	17
202010	동작구	0.026	0.025	0.4	0.003	38	19
202010	마포구	0.028	0.02	0.5	0.003	32	17
202010	마포아트센터	0.014	0.036	0.2	0.003	20	9
202010	북한산	0.009	0.032	0.3	0.002	27	17
202010	서대문구	0.019	0.025	0.5	0.003	30	17
202010	서울숲	0.012	0.016	0.4	0.003	20	9
202010	서초구	0.031	0.022	0.5	0.003	36	15
202010	성동구	0.03	0.021	0.4	0.004	31	17
202010	성북구	0.028	0.021	0.5	0.003	36	15
202010	세곡	0.017	0.021	0.6	0.003	24	13
202010	송파구	0.029	0.02	0.5	0.003	33	18
202010	시흥대로	0.043	0.016	0.7	0.004	38	21
202010	신촌로	0.037	0.016	0.6	0.004	40	21
202010	양천구	0.028	0.023	0.5	0.003	35	18
202010	영등포구	0.027	0.021	0.5	0.003	33	18
202010	영등포로	0.035	0.017	0.6	0.004	37	19
202010	올림픽공원	0.012	0.021	0.3	0.003	22	11
202010	용산구	0.017	0.019	0.4	0.004	34	16
202010	은평구	0.018	0.027	0.5	0.003	32	15
202010	자연사박물관	0.013	0.026	0.3	0.006	20	11
202010	종로	0.023	0.021	0.5	0.003	37	19
202010	종로구	0.025	0.025	0.5	0.004	36	18
202010	중구	0.025	0.024	0.5	0.003	40	19
202010	중랑구	0.022	0.023	0.5	0.003	32	17
202010	천호대로	0.035	0.017	0.6	0.003	41	19
202010	청계천로	0.028	0.019	0.6	0.004	41	26
202010	한강대로	0.03	0.018	0.6	0.003	39	16
202010	행주	0.016	0.021	1	0.005	27	13
202010	홍릉로	0.031	0.019	0.5	0.003	33	17
202009	강남구	0.017	0.028	0.4	0.003	18	12
202009	강남대로	0.026	0.019	0.6	0.003	18	11
202009	강동구	0.015	0.024	0.4	0.002	20	12
202009	강변북로	0.023	0.024	0.5	0.003	17	10
202009	강북구	0.009	0.026	0.3	0.002	22	11
202009	강서구	0.016	0.03	0.3	0.004	19	12
202009	공항대로	0.019	0.018	0.4	0.004	18	10
202009	관악구	0.019	0.028	0.4	0.003	20	10
202009	관악산	0.01	0.042	0.4	0.003	19	6
202009	광진구	0.012	0.019	0.4	0.003	18	9
202009	구로구	0.013	0.028	0.3	0.002	19	8
202009	궁동	0.016	0.025	0.3	0.002	22	11
202009	금천구	0.017	0.025	0.4	0.002	21	13
202009	남산	0.017	0.032	0.4	0.002	16	8
202009	노원구	0.014	0.03	0.4	0.003	19	11
202009	도봉구	0.01	0.03	0.2	0.003	13	8
202009	도산대로	0.022	0.021	0.6	0.003	22	8
202009	동대문구	0.017	0.029	0.4	0.002	19	11
202009	동작구	0.017	0.026	0.3	0.003	24	12
202009	동작대로	0.032	0.017	0.3	0.003	16	5
202009	마포구	0.018	0.026	0.4	0.002	19	11
202009	마포아트센터	0.014	0.036	0.2	0.003	19	9
