시도,사고구분,합계,맑음,흐림,비,안개,눈,기타,미분류
서울,사망자수,"2,066","1,654",182,200,0,18,12,0
서울,부상자수,"1,377,699","316,210","21,453","30,581",610,"4,292","168,924","835,629"
서울,사고건수,"948,117","219,408","14,599","19,971",337,"2,749","114,250","576,803"
부산,사망자수,"1,081",886,61,122,1,8,3,0
부산,부상자수,"458,948","127,723","5,701","13,770",122,439,"67,172","244,021"
부산,사고건수,"308,788","87,284","3,834","8,836",70,291,"44,221","164,252"
대구,사망자수,907,776,38,82,3,5,3,0
대구,부상자수,"418,648","114,360","4,485","11,725",94,"1,001","57,596","229,387"
대구,사고건수,"282,976","78,820","3,008","7,387",64,621,"37,888","155,188"
인천,사망자수,882,736,59,78,3,5,1,0
인천,부상자수,"453,440","100,906","5,005","8,869",252,"1,937","61,484","274,987"
인천,사고건수,"288,131","63,981","3,086","5,379",146,"1,103","37,619","176,817"
광주,사망자수,565,423,45,79,1,13,4,0
광주,부상자수,"286,756","75,821","4,220","7,673",143,"2,005","32,581","164,313"
광주,사고건수,"175,042","46,310","2,602","4,563",78,"1,169","19,044","101,276"
대전,사망자수,538,412,55,65,2,4,0,0
대전,부상자수,"277,359","58,603","3,435","5,620",39,"1,250","37,748","170,664"
대전,사고건수,"171,061","36,959","2,070","3,461",28,714,"22,655","105,174"
울산,사망자수,555,446,34,69,0,5,1,0
울산,부상자수,"182,066","44,478","2,253","5,384",18,332,"20,606","108,995"
울산,사고건수,"121,172","29,578","1,482","3,472",13,197,"13,295","73,135"
세종,사망자수,55,48,5,1,1,0,0,0
세종,부상자수,"4,286","1,769",106,204,22,49,155,"1,981"
세종,사고건수,"2,504","1,026",73,117,17,27,56,"1,188"
경기,사망자수,"4,887","3,826",441,484,46,60,30,0
경기,부상자수,"1,899,385","400,398","23,788","39,977","2,455","8,072","225,604","1,199,091"
경기,사고건수,"1,171,440","251,098","14,446","23,085","1,176","4,805","135,501","741,329"
강원,사망자수,"1,272",976,106,151,8,22,9,0
강원,부상자수,"277,593","75,464","6,387","9,509",297,"2,639","28,933","154,364"
강원,사고건수,"157,333","44,472","3,523","5,120",147,"1,340","15,652","87,079"
충북,사망자수,"1,346","1,072",88,143,18,22,3,0
충북,부상자수,"274,369","76,059","4,245","7,254",322,"1,708","32,045","152,736"
충북,사고건수,"163,671","46,184","2,516","4,039",173,953,"18,652","91,154"
충남,사망자수,"2,190","1,680",206,213,35,38,18,0
충남,부상자수,"384,668","79,721","6,142","8,935",726,"2,607","44,968","241,569"
충남,사고건수,"217,449","48,284","3,690","4,927",371,"1,357","23,745","135,075"
전북,사망자수,"1,815","1,413",174,173,13,35,7,0
전북,부상자수,"311,207","79,313","6,489","9,208",366,"2,535","31,948","181,348"
전북,사고건수,"186,916","49,247","4,006","5,390",223,"1,377","17,880","108,793"
전남,사망자수,"2,181","1,697",173,235,18,25,33,0
전남,부상자수,"264,828","84,318","5,491","10,123",365,"1,830","27,144","135,557"
전남,사고건수,"155,882","50,436","3,237","5,686",191,938,"15,242","80,152"
경북,사망자수,"2,805","2,247",189,313,13,29,14,0
경북,부상자수,"415,759","121,048","7,616","14,793",345,"1,966","49,833","220,158"
경북,사고건수,"260,574","78,664","4,754","8,864",201,"1,137","29,940","137,014"
경남,사망자수,"2,337","1,852",187,258,13,16,11,0
경남,부상자수,"447,669","122,498","5,706","13,978",265,692,"58,473","246,057"
경남,사고건수,"287,723","81,556","3,838","8,757",172,386,"35,967","157,047"
제주,사망자수,498,377,58,53,4,1,5,0
제주,부상자수,"85,855","28,572","2,446","4,125",126,747,"10,843","38,996"
제주,사고건수,"54,401","19,013","1,644","2,570",72,402,"6,533","24,167"
미상,사망자수,0,0,0,0,0,0,0,0
미상,부상자수,"500,293","59,454","3,009","6,059",552,"1,897","222,794","206,528"
미상,사고건수,"305,197","36,476","1,812","3,369",302,991,"134,885","127,362"
