시도,맑음,흐림,비,안개,눈,기타,미분류
서울,"219,408","14,599","19,971",337,"2,749","114,250","576,803"
부산,"87,284","3,834","8,836",70,291,"44,221","164,252"
대구,"78,820","3,008","7,387",64,621,"37,888","155,188"
인천,"63,981","3,086","5,379",146,"1,103","37,619","176,817"
광주,"46,310","2,602","4,563",78,"1,169","19,044","101,276"
대전,"36,959","2,070","3,461",28,714,"22,655","105,174"
울산,"29,578","1,482","3,472",13,197,"13,295","73,135"
세종,"1,026",73,117,17,27,56,"1,188"
경기,"251,098","14,446","23,085","1,176","4,805","135,501","741,329"
강원,"44,472","3,523","5,120",147,"1,340","15,652","87,079"
충북,"46,184","2,516","4,039",173,953,"18,652","91,154"
충남,"48,284","3,690","4,927",371,"1,357","23,745","135,075"
전북,"49,247","4,006","5,390",223,"1,377","17,880","108,793"
전남,"50,436","3,237","5,686",191,938,"15,242","80,152"
경북,"78,664","4,754","8,864",201,"1,137","29,940","137,014"
경남,"81,556","3,838","8,757",172,386,"35,967","157,047"
제주,"19,013","1,644","2,570",72,402,"6,533","24,167"
불명,"36,476","1,812","3,369",302,991,"134,885","127,362"
