accident,total,clear,cloudy,rain,fog,snow,etc,unkown
acccount,5962567,1322731,54408,101670,3695,9889,1292881,3177293
death,20228,16777,1371,1712,139,136,93,0
injuty,9448702,2019462,84244,163126,7031,17090,2142025,5015724
acccount,1043965,222237,9876,15058,576,1326,216725,578167
death,1621,1347,118,141,1,5,9,0
injuty,1522820,316797,14287,22112,988,2001,326112,840523
acccount,27503,6920,253,539,24,36,5241,14490
death,42,34,4,4,0,0,0,0
injuty,39046,9668,356,881,32,50,7568,20491
acccount,31138,7474,420,623,34,37,6041,16509
death,43,38,4,1,0,0,0,0
injuty,43055,10400,582,871,56,52,8568,22526
acccount,36492,8461,257,509,23,36,7022,20184
death,66,59,4,3,0,0,0,0
injuty,54751,12347,382,763,38,85,10815,30321
acccount,36951,6600,286,370,17,37,7581,22060
death,60,57,0,2,0,1,0,0
injuty,53405,9285,403,548,27,56,11291,31795
acccount,32984,9277,625,611,11,20,6099,16341
death,84,70,8,6,0,0,0,0
injuty,44129,11998,833,805,17,30,8517,21929
acccount,32996,7819,583,569,16,37,6314,17658
death,71,59,9,3,0,0,0,0
injuty,46767,10666,776,810,26,50,9227,25212
acccount,20581,4564,254,368,1,30,4373,10991
death,38,34,2,2,0,0,0,0
injuty,29337,6192,373,521,1,46,6524,15680
acccount,29107,6087,259,412,21,57,5992,16279
death,61,52,3,6,0,0,0,0
injuty,41721,8538,375,578,27,76,8924,23203
acccount,26432,5921,384,359,26,28,5369,14345
death,54,43,7,4,0,0,0,0
injuty,38318,8414,582,529,40,40,7969,20744
acccount,53762,10586,291,767,35,70,11192,30821
death,58,46,4,8,0,0,0,0
injuty,81259,15837,425,1200,60,105,17341,46291
acccount,54435,9844,376,622,33,72,12680,30808
death,68,58,6,3,0,0,1,0
injuty,80773,14135,547,913,63,116,19534,45465
acccount,39032,8119,246,599,27,47,8581,21413
death,66,58,3,5,0,0,0,0
injuty,56893,11544,365,870,31,66,12735,31282
acccount,58727,13850,455,943,27,68,12053,31331
death,105,85,8,12,0,0,0,0
injuty,88049,20407,692,1397,49,117,18616,46771
acccount,36456,7824,268,520,16,55,7766,20007
death,60,56,1,2,0,1,0,0
injuty,52971,11298,401,728,24,78,11486,28956
acccount,37451,7636,230,461,11,54,8138,20921
death,60,46,3,6,0,1,4,0
injuty,52502,10381,343,659,66,67,11810,29176
acccount,109823,22067,692,1408,43,123,24333,61157
death,85,74,2,9,0,0,0,0
injuty,160674,32400,1058,2085,78,174,36752,88127
acccount,36101,7876,410,568,20,60,7512,19655
death,82,63,7,12,0,0,0,0
injuty,52972,11146,538,796,40,76,11403,28973
acccount,63586,14889,841,1033,42,89,12351,34341
death,93,72,9,11,0,0,1,0
injuty,92454,21041,1255,1513,68,132,18757,49688
acccount,84796,14090,445,947,71,89,17880,51274
death,89,64,8,16,0,1,0,0
injuty,131313,21760,703,1560,143,129,28392,78626
acccount,44202,8339,393,579,17,58,9326,25490
death,61,52,3,4,1,1,0,0
